date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:09:55	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2001%20Oct%202017%2022:49:40%20GMT	https://Banklyforextrade.com/icon-fonts/fontawesome-webfont.eot?	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/icon-fonts/fontawesome-webfontd41d.eot	(from https://Banklyforextrade.com/css/font-awesome.min.css)
22:09:55	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2001%20Oct%202017%2022:49:40%20GMT	https://Banklyforextrade.com/icon-fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/icon-fonts/fontawesome-webfont3e6e.eot	(from https://Banklyforextrade.com/css/font-awesome.min.css)
22:09:56	77160/77160	---M--	200	added ('OK')	font/woff2	date:Sun,%2001%20Oct%202017%2022:49:40%20GMT	https://Banklyforextrade.com/icon-fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/icon-fonts/fontawesome-webfont3e6e.woff2	(from https://Banklyforextrade.com/css/font-awesome.min.css)
22:09:58	98024/98024	---M--	200	added ('OK')	font/woff	date:Sun,%2001%20Oct%202017%2022:49:40%20GMT	https://Banklyforextrade.com/icon-fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/icon-fonts/fontawesome-webfont3e6e.woff	(from https://Banklyforextrade.com/css/font-awesome.min.css)
22:10:01	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Oct%202017%2022:49:40%20GMT	https://Banklyforextrade.com/icon-fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/icon-fonts/fontawesome-webfont3e6e.svg	(from https://Banklyforextrade.com/css/font-awesome.min.css)
22:10:02	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2023%20May%202014%2020:31:42%20GMT	https://Banklyforextrade.com/icon-fonts/themify.eot?-fvbane	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/icon-fonts/themify9f24.eot	(from https://Banklyforextrade.com/css/themify-icons.css)
22:10:03	56108/56108	---M--	200	added ('OK')	font/woff	date:Fri,%2023%20May%202014%2020:31:42%20GMT	https://Banklyforextrade.com/icon-fonts/themify.woff?-fvbane	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/icon-fonts/themify9f24.woff	(from https://Banklyforextrade.com/css/themify-icons.css)
22:10:03	78584/78584	---M--	200	added ('OK')	font/ttf	date:Fri,%2023%20May%202014%2020:31:42%20GMT	https://Banklyforextrade.com/icon-fonts/themify.ttf?-fvbane	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/icon-fonts/themify9f24.ttf	(from https://Banklyforextrade.com/css/themify-icons.css)
22:10:04	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Mar%202021%2021:10:10%20GMT	https://Banklyforextrade.com/css/owl.video.play.png	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/css/owl.video.play.png	(from https://Banklyforextrade.com/css/owl.carousel.css)
22:10:05	75052/75052	---M--	200	added ('OK')	text/css	date:Thu,%2008%20Feb%202018%2014:21:12%20GMT	https://Banklyforextrade.com/css/animate.css	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/css/animate.css	(from https://Banklyforextrade.com/index.html)
